folder_name_url,document_name,document_download_link,document_date,doc_submitter,folder_name,participant_category_url,participant_category,doc_type,participant_folder_url,participant_folder,featured_information_url,featured_information,f2_url,application_name,folder_name_url_view
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4246271,C19098-1 NEBC_Connector_Project_-_CCC_Registration_-_Cumulative_Effects_Workshop_June_2022 - A8D8W1,/REGDOCS/File/Download/4246822,2022-05-12,Crown Consultation Coordinator,C19098 Crown Consultation Coordinator - NEBC Connector Project - CCC Registration - June 2022 Cumulative Effects Workshop,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246271
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4276562,C21461-1 Crown Consultation Coordination Second_Submission for NEBC Connector Project 18 October 2022_ - A8H5E1,/REGDOCS/File/Download/4277525,2022-10-18,Canada Energy Regulator / Régie de l’énergie du Canada,C21461 CER - Crown Consultation Coordinator - Second Submission on Consultations with Indigenous Communities,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4276562
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4243717,C18568-1 CER – Letter – NorthRiver – NEBC Connector Project – OH-001-2022 - A8D1I9,/REGDOCS/File/Download/4243542,2022-04-14,CER | REC,C18568 CER | REC - Letter and Workshop Summary Report – NorthRiver Midstream NEBC Connector GP Inc. – NEBC Connector Project – OH-001-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4243717
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4243717,C18568-2 CER – Workshop Summary Report – NorthRiver – NEBC Connector Project – OH-001-2022 - A8D1J0,/REGDOCS/File/Download/4243806,2022-04-14,CER | REC,C18568 CER | REC - Letter and Workshop Summary Report – NorthRiver Midstream NEBC Connector GP Inc. – NEBC Connector Project – OH-001-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4243717
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4275139,C21354-1 CER – Letter – NorthRiver – NEBC Connector Project – Potential effects on species listed under the Species at Risk Act - A8H3A6,/REGDOCS/File/Download/4275140,2022-10-12,CER | REC,C21354 CER | REC - Letter – NorthRiver Midstream NEBC Connector GP Inc. – NEBC Connector Project – Potential effects on species listed under the Species at Risk Act,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4275139
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4275139,C21354-2 REC – Lettre – NorthRiver – Projet de raccordement dans le nord-est de la Colombie-Britannique – Effets possibles sur des espèces sur la liste de la Loi sur les espèces en péril - A8H3A5,/REGDOCS/File/Download/4275141,2022-10-12,CER | REC,C21354 CER | REC - Letter – NorthRiver Midstream NEBC Connector GP Inc. – NEBC Connector Project – Potential effects on species listed under the Species at Risk Act,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4275139
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4239698,C18289-1 Crown Consultation Coordinator - Supplemental Information to First Submission and Information Session Notes - A8C7Q8,/REGDOCS/File/Download/4239699,2022-03-24,Crown Consultation Coordinator,C18289 Crown Consultation Coordinator - NorthRiver Midstream NEBC Connector GP Inc. - Supplemental Information to First Submission,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4239698
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4251576,C19587-1 CER Presentation - NorthRiver Midstream NEBC Connector GP Inc. – NEBC Connector – Technical workshop on cumulative effects assessment – OH-001-2022 - A8E5Z9,/REGDOCS/File/Download/4248493,2022-06-16,CER | REC,C19587 CER | REC - Presentation - NorthRiver Midstream NEBC Connector GP Inc. – NEBC Connector – Technical workshop on cumulative effects assessment – OH-001-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4251576
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4246171,C19108-1 Crown Consultation Coordinator - Letter and Dene Tha  Workshop Registration Form - A8D8Y3,/REGDOCS/File/Download/4246362,2022-05-13,Crown Consultation Coordinator,C19108 Crown Consultation Coordinator - Letter and Dene Tha' Workshop Registration Form,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246171
https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4230339,"C18006-1 Crown Consultation Coordinator - NorthRiver Midstream NEBC Connector GP Inc. - First Submission, Comments to Hearing Process, Draft List of Issues, and Crown List - A8C3S1",/REGDOCS/File/Download/4230461,2022-03-03,Crown Consultation Coordinator,C18006 Crown Consultation Coordinator - NEBC - First Submission,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/4157925,B - Canada Energy Regulator,documents,,,,,,NorthRiver Midstream NEBC Connector GP Inc.,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4230339
